graph_hash,profile,cycle_i,cycle_j,distance,shared_vertices,shared_edges
fcc1ebef9787b30c47d8bd47a0afa53140e32d0a056d2d3ca678ba5ec56fb815,"(4,0,0,0)",0,1,1,0,0
fcc1ebef9787b30c47d8bd47a0afa53140e32d0a056d2d3ca678ba5ec56fb815,"(4,0,0,0)",0,2,8,0,0
fcc1ebef9787b30c47d8bd47a0afa53140e32d0a056d2d3ca678ba5ec56fb815,"(4,0,0,0)",0,3,8,0,0
fcc1ebef9787b30c47d8bd47a0afa53140e32d0a056d2d3ca678ba5ec56fb815,"(4,0,0,0)",1,2,8,0,0
fcc1ebef9787b30c47d8bd47a0afa53140e32d0a056d2d3ca678ba5ec56fb815,"(4,0,0,0)",1,3,8,0,0
fcc1ebef9787b30c47d8bd47a0afa53140e32d0a056d2d3ca678ba5ec56fb815,"(4,0,0,0)",2,3,7,0,0
50bfb6cfbe4149071ceda731d4539a93efb43767003d02cac5e651255a73b171,"(4,0,0,0)",0,1,3,0,0
50bfb6cfbe4149071ceda731d4539a93efb43767003d02cac5e651255a73b171,"(4,0,0,0)",0,2,4,0,0
50bfb6cfbe4149071ceda731d4539a93efb43767003d02cac5e651255a73b171,"(4,0,0,0)",0,3,7,0,0
50bfb6cfbe4149071ceda731d4539a93efb43767003d02cac5e651255a73b171,"(4,0,0,0)",1,2,6,0,0
50bfb6cfbe4149071ceda731d4539a93efb43767003d02cac5e651255a73b171,"(4,0,0,0)",1,3,7,0,0
50bfb6cfbe4149071ceda731d4539a93efb43767003d02cac5e651255a73b171,"(4,0,0,0)",2,3,7,0,0
17ace8e2724be053be9cb590223e5791a67971d43dc7652492b570c7fdcc6770,"(4,0,0,0)",0,1,3,0,0
17ace8e2724be053be9cb590223e5791a67971d43dc7652492b570c7fdcc6770,"(4,0,0,0)",0,2,4,0,0
17ace8e2724be053be9cb590223e5791a67971d43dc7652492b570c7fdcc6770,"(4,0,0,0)",0,3,7,0,0
17ace8e2724be053be9cb590223e5791a67971d43dc7652492b570c7fdcc6770,"(4,0,0,0)",1,2,6,0,0
17ace8e2724be053be9cb590223e5791a67971d43dc7652492b570c7fdcc6770,"(4,0,0,0)",1,3,7,0,0
17ace8e2724be053be9cb590223e5791a67971d43dc7652492b570c7fdcc6770,"(4,0,0,0)",2,3,10,0,0
fcc715f29ac61e27d6e71cb38a062eca4c2fc3ea292761b5a8eeaabf577533cd,"(4,0,0,0)",0,1,3,0,0
fcc715f29ac61e27d6e71cb38a062eca4c2fc3ea292761b5a8eeaabf577533cd,"(4,0,0,0)",0,2,4,0,0
fcc715f29ac61e27d6e71cb38a062eca4c2fc3ea292761b5a8eeaabf577533cd,"(4,0,0,0)",0,3,7,0,0
fcc715f29ac61e27d6e71cb38a062eca4c2fc3ea292761b5a8eeaabf577533cd,"(4,0,0,0)",1,2,6,0,0
fcc715f29ac61e27d6e71cb38a062eca4c2fc3ea292761b5a8eeaabf577533cd,"(4,0,0,0)",1,3,7,0,0
fcc715f29ac61e27d6e71cb38a062eca4c2fc3ea292761b5a8eeaabf577533cd,"(4,0,0,0)",2,3,10,0,0
c3426e3b68f638cd51c5b4407a681824980d607d0b3481cd3801ee53425d9b5a,"(4,0,0,0)",0,1,3,0,0
c3426e3b68f638cd51c5b4407a681824980d607d0b3481cd3801ee53425d9b5a,"(4,0,0,0)",0,2,3,0,0
c3426e3b68f638cd51c5b4407a681824980d607d0b3481cd3801ee53425d9b5a,"(4,0,0,0)",0,3,7,0,0
c3426e3b68f638cd51c5b4407a681824980d607d0b3481cd3801ee53425d9b5a,"(4,0,0,0)",1,2,6,0,0
c3426e3b68f638cd51c5b4407a681824980d607d0b3481cd3801ee53425d9b5a,"(4,0,0,0)",1,3,7,0,0
c3426e3b68f638cd51c5b4407a681824980d607d0b3481cd3801ee53425d9b5a,"(4,0,0,0)",2,3,10,0,0
2dccabcf1da8c78195dcbd6320e95c52dc0c87c3acc4ad801ffb726f55f1eb5c,"(4,0,0,0)",0,1,3,0,0
2dccabcf1da8c78195dcbd6320e95c52dc0c87c3acc4ad801ffb726f55f1eb5c,"(4,0,0,0)",0,2,4,0,0
2dccabcf1da8c78195dcbd6320e95c52dc0c87c3acc4ad801ffb726f55f1eb5c,"(4,0,0,0)",0,3,7,0,0
2dccabcf1da8c78195dcbd6320e95c52dc0c87c3acc4ad801ffb726f55f1eb5c,"(4,0,0,0)",1,2,6,0,0
2dccabcf1da8c78195dcbd6320e95c52dc0c87c3acc4ad801ffb726f55f1eb5c,"(4,0,0,0)",1,3,7,0,0
2dccabcf1da8c78195dcbd6320e95c52dc0c87c3acc4ad801ffb726f55f1eb5c,"(4,0,0,0)",2,3,7,0,0
ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,"(4,0,0,0)",0,1,3,0,0
ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,"(4,0,0,0)",0,2,8,0,0
ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,"(4,0,0,0)",0,3,5,0,0
ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,"(4,0,0,0)",1,2,7,0,0
ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,"(4,0,0,0)",1,3,4,0,0
